"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1966683556584833157","Sat Sep 13 02:22:27 +0000 2025","0","@aespa_official @papermagazine @amazonmusic Kesayangan ⭐️","1966688896982335934","","aespa_official","in","","0","0","0","https://x.com/undefined/status/1966688896982335934","1611396957771296768",
"1966685320558334364","Sat Sep 13 02:20:28 +0000 2025","0","@Cyonscalyn Yg event aespa kah? Kl iya sama WKWKWK ","1966688400175448408","","Cyonscalyn","in","","0","0","0","https://x.com/undefined/status/1966688400175448408","1339431186989338625",
"1966688301663805896","Sat Sep 13 02:20:05 +0000 2025","9","apa ku bilang aespa nih mau dance gimanapun bakal keliatan salah di mata haters jd fans aespa sf member lain stop nyalahin dance giselle klo aespa dihate.","1966688301663805896","","","in","","0","2","2","https://x.com/undefined/status/1966688301663805896","1606841034394472448",
"1966688128661422313","Sat Sep 13 02:19:23 +0000 2025","0","aespa the block ternyata fashion show aja kirain ada performnya hehe","1966688128661422313","","","in","","0","1","0","https://x.com/undefined/status/1966688128661422313","1765217122270216192",
"1966646436172554558","Sat Sep 13 02:18:53 +0000 2025","0","@AESPA_SMT0WN IYA SUMPAH 4× DISCONNECT MALESIN","1966688003184627882","","AESPA_SMT0WN","in","","0","0","0","https://x.com/undefined/status/1966688003184627882","1902025459187265536",
"1966687637348962597","Sat Sep 13 02:17:26 +0000 2025","8","!roblox ini event free ugc aespa ada lagi jam berapa guys? tadi aku masuk soalnya gaada apa apa :(","1966687637348962597","","","in","","1","6","0","https://x.com/undefined/status/1966687637348962597","1903872646678470656",
"1966687205453119813","Sat Sep 13 02:15:43 +0000 2025","7","iya anjr tiap aespa cb atau perform selalu muncul hate dengan pola yang sama. tapi ya gimana coba bayangin jadi mereka berharap aespa downfall era tapi kagak downfall akwoakwowkwowkw","1966687205453119813","","","in","","0","0","1","https://x.com/undefined/status/1966687205453119813","1914618461701201920",
"1966671280955928736","Sat Sep 13 02:14:48 +0000 2025","0","@txtFromRoblox kez yuk tar malem ke map aespa @emppapa","1966686974947062232","","txtFromRoblox","in","","0","1","0","https://x.com/undefined/status/1966686974947062232","1425618622886551560",
"1966506981826437621","Sat Sep 13 02:14:18 +0000 2025","10","@espiraculonaran Itu udah bagus sih untuk ukuran aespa wk","1966686846479470893","","espiraculonaran","in","","0","1","0","https://x.com/undefined/status/1966686846479470893","473689373",
"1966686723112415448","Sat Sep 13 02:13:48 +0000 2025","0","kayaknya Aespa terinspirasi dari sini https://t.co/uZXdYkwR7j","1966686723112415448","https://pbs.twimg.com/ext_tw_video_thumb/1897035266528886784/pu/img/nz52IE-TJl2fpaW9.jpg","","in","","0","0","0","https://x.com/undefined/status/1966686723112415448","1893572896699957248",
"1966685720019693747","Sat Sep 13 02:09:49 +0000 2025","0","WTS lucky draw aespa Rich Man. Ada POB juga kalo mau tanya-tanya DM aja https://t.co/4hKyasJZYl","1966685720019693747","","","in","","0","0","0","https://x.com/undefined/status/1966685720019693747","1921027612421525504",
"1966685683717992925","Sat Sep 13 02:09:40 +0000 2025","0","dapet ugc gitar gratis aespa x roblox.. cakeppp bgtt woy https://t.co/h15ADV5qq6","1966685683717992925","https://pbs.twimg.com/media/G0sSNO1bcAEdFIi.jpg","","in","","0","0","0","https://x.com/undefined/status/1966685683717992925","1929840938068987906",
"1966685395011465522","Sat Sep 13 02:08:32 +0000 2025","0","Kalo bleh jujur roblox nya aespa elek bgt bjir posenya apa bgt masa tiba2 ngangkang gajelas ","1966685395011465522","","","in","","0","0","0","https://x.com/undefined/status/1966685395011465522","1314870688679821313",
"1966685205286318437","Sat Sep 13 02:07:46 +0000 2025","0","#s yang masih lucky draw aespa rich man bisa DM ya. Ada POB juga https://t.co/4hKyasJZYl","1966685205286318437","","","in","","0","0","0","https://x.com/undefined/status/1966685205286318437","1921027612421525504",
"1966683673534886065","Sat Sep 13 02:01:41 +0000 2025","0","yukk gesss yang mauuu tanya tanya dulu bolehhh yahhhh .t enhypen txt bts nct aespa Illit blackpink h2h seventeen babymonster straykids zb1 exo ateez riize theboyz newjeans ive lesserafim itzy twice redvelvet","1966683673534886065","","","in","","0","0","0","https://x.com/undefined/status/1966683673534886065","1925413590099795969",
"1966671274647658984","Sat Sep 13 02:01:13 +0000 2025","0","@tumbuhanrambat nyang aespa kayak dti gt cm runaway doang wkwkwk","1966683557213917565","","tumbuhanrambat","in","","0","0","0","https://x.com/undefined/status/1966683557213917565","995020060723822592",
"1966504530092392744","Sat Sep 13 01:59:24 +0000 2025","0","@cucyur_antrac pantesan ga dapet notif info terbaru free ugc aespa ternyata ke sus acc nya huhu semangat yaa kak","1966683098759700807","","cucyur_antrac","in","","0","0","0","https://x.com/undefined/status/1966683098759700807","1546026930654158848",
"1966647086104916004","Sat Sep 13 01:59:15 +0000 2025","16","@kvntibogel @roblox_fess nooo itu aespa ini meme roblox dari jokes ningning is the maknae WKWKWK https://t.co/em8DMwJg0b","1966683059895640508","https://pbs.twimg.com/amplify_video_thumb/1965057366493433856/img/z1RS0Nc5J__KadAW.jpg","kvntibogel","in","","0","1","0","https://x.com/undefined/status/1966683059895640508","1509452994425028609",
"1966682864453300459","Sat Sep 13 01:58:28 +0000 2025","0","curigaaa sih wakeone emang konsep alpha itu mereka mau ngikutin trend kayak konsep aespa sama konsep straykids anjirrr.. awas aja lu yaaa eksekusinya gak bagusssss..","1966682864453300459","","","in","","0","0","0","https://x.com/undefined/status/1966682864453300459","1596507302604918784",
"1966563777593188568","Sat Sep 13 01:55:54 +0000 2025","0","@byslytherell BENER BGTTTTT aespa potensinya seGEDE itu dari rookie padahal tapi nih agensi emg gabisa ngeliat peluang muak bgt gue","1966682219377778908","","byslytherell","in","","0","0","0","https://x.com/undefined/status/1966682219377778908","1282202364548505606",
"1966681593738915916","Sat Sep 13 01:55:15 +0000 2025","0","@sullenine OY DAPETIN UGC GITAR AESPA YUK","1966682052012470637","","sullenine","in","","0","1","0","https://x.com/undefined/status/1966682052012470637","1646872816497852417",
